date;type;place;venue;title;comments;
01.11.2025;Workshop;Leipzig, Germany;International NTZ-Workshop on New Developments in Computational Physics; Emergent spatiotemporal patterns in adaptive networks
01.03.2025;Conference;Regensburg, Germany;DPG Frühjahrstagung; Finite integration time shifts optimal dynamic range into subcritical regime
19.12.2024;Invited Talk;Potsdam, Germany;HPI;Estimating the risk of an epidemic from human contact behavior
27.11.2024;Invited Talk;Cambridge, UK;Seminar at Cambridge;Harnessing the Vicinity of Criticality to Adapt Information Processing
25.11.2024;Invited Talk;London, UK;Statistical Physics of Cognition Workshop;Harnessing the Vicinity of Criticality to Adapt Information Processing
05.04.2024;Invited Talk;Oldenburg, Germany;Theorie Kolloquium;How contact patterns affect the non-equilibrium physics of epidemic outbreaks
21.02.2024;Workshop;Göttingen, Germany;Edinburgh-Göttingen Research Initiative;Cycloactive matter
25.10.2023;Conference;Hannover, Germany;International Conference on Neuromorphic, Natural and Physical Computing;Flexible tuning to task requirements via input statistics, local learning, and homeostatic plasticity
24.03.2023;Invited Talk;Göttingen, Germany;Göttingen Meeting of the NWG;Using computer models to understand pathological bursts in neuronal cultures
10.01.2023;Invited Talk;Kiel, Germany;Kiel University;Neuromorphic computing with self-organized networks
30.11.2022;Invited Talk;Heidelberg, Germany;IWR Colloquium;Neuromorphic computing with self-organized networks
05.09.2022;Conference;Regensburg, Germany;DPG Frühjahrstagung;Available processing time regulates optimal balance between sensitivity and precision
05.09.2022;Conference;Regensburg, Germany;DPG Frühjahrstagung;Characterizing spreading dynamics of subsampled systems with non-stationary external input
18.07.2022;Invited Talk;;Lecture Series Current Topics in Biophysics and Complex Systems;Understanding Collective Neural Dynamics with Spreading Processes in Complex Networks
19.05.2022;Workshop;Edinburgh, Scotland;Workshop on statistical mechanical theories of emergence in biological systems;Emergent bistability in spiking neural networks
13.05.2022;Invited Talk;Limerick, Ireland;University of Limerick;Homeostatic self-organization in neural networks; online
07.04.2022;Invited Talk;Venice, Italy;Workshop on Physics of Data;How contact pattern influence epidemic outbreaks
14.03.2022;Conference;Chicago, USA;APS March Meeting;Autocorrelations in homeostatic spiking neural networks as a result of emergent bistable activity; online
18.03.2022;Invited Talk;Chicago, USA;APS March Meeting;Parallel flat-histogram method for equilibrium and non-equilibrium problems; online
24.02.2022;Invited Talk;Kiel, Germany;SFB 1461 Kolloquium, Kiel University;Homeostatic self-organization in neural networks; online
02.02.2022;Invited Talk;Chemnitz, Germany;Physikalisches Kolloquium, TU Chemnitz;Disease dynamics shaped by contact behavior; online
03.12.2021;Invited Talk;Duisburg-Essen, Germany;Theorie-Kolloquium der Fakultät für Physik, Uni Duisburg-Essen;Resonance between contact patterns and disease progression shapes epidemic spread; online
25.11.2021;Workshop;Leipzig, Germany;International NTZ-Workshop on New Developments in Computational Physics;Autocorrelations in homeostatic spiking neural networks as a result of emergent bistable activity; online
15.11.2021;Invited Talk;Germany;Herbstagung, Deutsche Aktuarvereinigung;Eine Analyse des Einflusses von statistischen Eigenschaften menschlichen Kontaktverhaltens auf Krankheitsausbrüche; online
15.10.2021;Workshop;Göttingen, Germany;Workshop on Statistical mechanical theories of emergence in biological systems;Resonance between contact patterns and disease progression shapes epidemic spread
06.10.2021;Invited Talk;Coventry, UK;Statistical Physics Seminar;Tailoring modular neural networks for optimal sensitivity to stimulus statistics; online
12.07.2021;Invited Talk;Virginia, USA;Virginia Tech;Temporal resonance between disease progression and contact patterns shapes epidemic spread; online
05.07.2021;Invited Talk;;MaxEnt21;Inferring Change Points in the Spread of COVID-19 for Short-Term Forecasts; online
06.05.2021;Invited Talk;;Forschungsdatenmanagement Workshop 2021, MPG;The role of GitHub for the management of research data to model COVID-19; online
02.03.2021;Invited Talk;Kraków, Poland;BioNN Seminar, Jagiellonian University;Using modular networks to reliably distinguish temporal input patterns; online
04.02.2021;Invited Talk;Mainz, Germany;Theorie der kondensierten Materie / TRR146 Seminar;Inferring and modeling the spread of an infectious disease - lessons learned from COVID-19; online
21.01.2021;Seminar;Göttingen, Germany;Statistical Physics Seminar;Tailored ensembles of neural networks optimize sensitivity to stimulus statistics; online
08.01.2021;Lecture;;jDPG Theo-Workshop 2021 - Stochastische Modelle in der Physik;Monte Carlo Methoden in der Modellierung von Krankheitsausbrüchen; online
03.12.2020;Workshop;Leipzig, Germany;International NTZ-Workshop on New Developments in Computational Physics;Theory of equilibrium cluster formation in solutions of extended particles; online
22.04.2020;Workshop;;ELLIS against Covid-19 Online Workshop;Inferring COVID-19 spreading rates and potential change points for case number forecasts; online
07.02.2020;Invited Talk;Granada, Spain;Instituto Carlos I, University of Granada;Computation in complex networks with emergent spatio-temporal correlations
15.01.2020;Invited Talk;Tübingen, Germany;Max Planck Institute for Biological Cybernetics;Computation in complex networks with emergent spatio-temporal correlations
14.01.2020;Invited Talk;Zurich, Switzerland;aiCTX;Computation in complex networks with emergent spatio-temporal correlations
02.09.2019;Invited Talk;Lausanne, Switzerland;New methods in Monte Carlo simulations, CECAM-HQ-EPFL;Parallel multicanonical simulations and their applications
14.05.2019;Invited Talk;Leipzig, Germany;Physics Teacher Training Program (ZLS);Statistische Physik in den Neurowissenschaften: Artifizielle Netzwerke
19.04.2019;Invited Talk;Duke, USA;Duke University;Homeostatic plasticity and external input can explain difference between neural spiking activity in vitro and in vivo
03.04.2019;Conference;Regensburg, Germany;DPG Frühjahrstagung;Homeostatic plasticity and external input shape neural network dynamics
06.02.2019;Seminar;Göttingen, Germany;MPI Campus Seminar;Turning neural networks more brain-like: Inspirations from statistical physics
30.11.2018;Workshop;Leipzig, Germany;International NTZ-Workshop on New Developments in Computational Physics;Extending the dynamic range by an ensemble of neural networks
15.10.2018;Workshop;Dresden, Germany;Stochastic dynamics on large networks: Prediction and inference;Homeostatic plasticity and external input shape neural network dynamics
28.09.2018;Conference;Berlin, Germany;Bernstein Conference;Homeostatic plasticity and external input explain difference in neural spiking activity in vitro and in vivo
20.03.2018;Invited Talk;Coventry, UK;ARMC, Coventry University;Diversity of dynamic states in neural networks induced by homeostatic plasticity
12.03.2018;Invited Talk;Berkeley, USA;UCL Berkeley;Population dynamics of driven branching processes
08.03.2018;Conference;Los Angeles, USA;APS March Meeting;Diversity of dynamic states in neural networks induced by homeostatic plasticity
30.11.2017;Workshop;Leipzig, Germany;International NTZ-Workshop on New Developments in Computational Physics;Diversity of dynamic states in neural networks induced by homeostatic plasticity
05.10.2017;Invited Talk;Mainz, Germany;University Mainz;(Grand-)canonical free energy barriers
07.07.2017;Invited Talk;Leipzig, Germany;Leipzig University;Homeostatic plasticity in neural networks induces a diverse range of dynamic states
24.11.2016;Conference;Leipzig, Germany;International NTZ-Workshop on New Developments in Computational Physics;Canonical free-energy barrier of particle and polymer cluster formation
09.03.2016;Conference;Regensburg, Germany;DPG Frühjahrstagung;Finite-size scaling of free-energy barrier in droplet formation and nucleation-like processes
24.02.2016;Workshop;Athens, Georgia, USA;Annual CSP Workshop;Exploring different regimes in finite-size scaling of the droplet condensation-evaporation transition
26.11.2015;Workshop;Leipzig, Germany;International NTZ-Workshop on New Developments in Computational Physics;Exploring different regimes in finite-size scaling of the droplet condensation-evaporation transition
18.03.2015;Conference;Berlin, Germany;DPG Frühjahrstagung;The role of stiffness in polymer aggregation: Leading from amorphous aggregates to polymer bundles
27.11.2014;Workshop;Leipzig, Germany;International NTZ-Workshop on New Developments in Computational Physics;Aggregation of semiflexible polymers under constraints
21.08.2013;Conference;Moscow, Russia;XXV IUPAP Conference on Computational Physics;Application of the parallel multicanonical method to lattice gas condensation
11.03.2013;Conference;Regensburg, Germany;DPG Frühjahrstagung;Simulations of aggregation in homopolymer systems
30.11.2012;Workshop;Leipzig, Germany;International NTZ-Workshop on New Developments in Computational Physics;Scaling properties of a parallel implementation of the multicanonical algorithm